id,account_id,project_id,date
968,288,25,2021-12-06
969,289,45,2021-12-06
970,289,4,2021-12-06
971,289,30,2021-12-06
973,289,2,2021-12-06
974,290,34,2021-12-06
975,290,39,2021-12-06
976,290,11,2021-12-06
978,290,27,2021-12-06
979,291,27,2021-12-06
980,291,41,2021-12-06
981,291,1,2021-12-06
983,291,17,2021-12-06
984,292,41,2021-12-06
985,292,47,2021-12-06
986,292,17,2021-12-06
988,292,38,2021-12-06
990,294,42,2021-12-07
991,294,31,2021-12-07
992,294,2,2021-12-07
994,294,8,2021-12-07
995,295,25,2021-12-07
996,295,27,2021-12-07
997,295,26,2021-12-07
999,295,33,2021-12-07
1001,296,17,2021-12-09
1002,296,47,2021-12-09
1003,296,41,2021-12-09
1005,296,2,2021-12-09
1026,305,17,2021-12-16
1027,305,34,2021-12-16
1028,305,5,2021-12-16
1030,306,41,2021-12-16
1031,306,42,2021-12-16
1032,306,33,2021-12-16
1033,307,47,2021-12-16
1035,307,42,2021-12-16
1036,307,26,2021-12-16
1037,307,8,2021-12-16
1038,306,3,2021-12-16
1040,305,42,2021-12-17
1041,273,47,2021-12-17
1042,273,25,2021-12-17
1043,273,17,2021-12-17
1049,309,11,2021-12-22
1050,309,10,2021-12-22
1051,309,17,2021-12-22
1052,309,25,2021-12-22
1054,310,41,2021-12-23
2642,190,1,2022-04-01
1061,123,8,2021-12-31
1062,123,40,2021-12-31
1063,123,30,2021-12-31
1064,123,15,2021-12-31
1065,123,10,2021-12-31
1066,123,12,2021-12-31
1067,123,14,2021-12-31
1068,123,3,2021-12-31
1069,123,4,2021-12-31
1070,123,21,2021-12-31
1071,123,20,2021-12-31
1072,123,27,2021-12-31
1073,123,11,2021-12-31
1074,123,22,2021-12-31
1075,123,31,2021-12-31
1076,123,32,2021-12-31
1077,123,33,2021-12-31
1078,123,34,2021-12-31
1079,123,35,2021-12-31
1080,123,38,2021-12-31
1081,123,37,2021-12-31
1082,123,44,2021-12-31
1083,123,2,2021-12-31
1084,123,17,2021-12-31
1085,123,6,2021-12-31
1086,123,28,2021-12-31
1087,123,29,2021-12-31
1088,123,39,2021-12-31
1089,123,5,2021-12-31
1090,123,45,2021-12-31
1091,123,47,2021-12-31
1092,123,1,2021-12-31
1093,123,42,2021-12-31
1094,123,23,2021-12-31
1095,123,26,2021-12-31
1096,123,25,2021-12-31
1097,123,41,2021-12-31
1099,259,11,2022-01-01
1100,2,25,2022-01-01
1103,39,12,2022-01-01
1098,259,4,2022-01-01
1104,39,44,2022-01-01
1105,200,23,2022-01-01
1106,184,17,2022-01-01
1107,184,25,2022-01-01
1108,184,42,2022-01-01
1109,184,26,2022-01-01
1110,184,44,2022-01-01
1111,2,17,2022-01-01
1115,38,40,2022-01-01
1116,38,31,2022-01-01
1117,157,11,2022-01-01
1118,200,1,2022-01-01
1119,200,22,2022-01-01
1120,200,25,2022-01-01
1121,200,26,2022-01-01
1122,39,41,2022-01-01
1123,1,17,2022-01-01
1124,1,5,2022-01-01
1125,1,8,2022-01-01
1126,1,10,2022-01-01
1127,38,17,2022-01-01
1128,38,38,2022-01-01
1129,157,12,2022-01-01
1130,157,37,2022-01-01
1134,164,5,2022-01-01
1137,218,2,2022-01-01
1138,218,10,2022-01-01
1139,218,6,2022-01-01
1140,75,1,2022-01-01
1141,207,25,2022-01-01
1142,218,5,2022-01-01
1143,218,11,2022-01-01
1144,219,14,2022-01-01
1145,219,8,2022-01-01
1146,219,25,2022-01-01
1147,219,17,2022-01-01
1148,224,8,2022-01-01
1149,224,6,2022-01-01
1150,224,1,2022-01-01
1151,224,2,2022-01-01
1152,71,17,2022-01-01
1153,219,5,2022-01-01
1154,224,12,2022-01-01
1155,71,2,2022-01-01
1156,71,10,2022-01-01
1157,78,15,2022-01-01
1158,75,25,2022-01-01
1159,69,8,2022-01-01
1160,204,5,2022-01-01
1161,204,17,2022-01-01
1162,207,5,2022-01-01
1163,207,3,2022-01-01
1164,207,6,2022-01-01
1165,204,3,2022-01-01
1166,204,1,2022-01-01
1167,208,8,2022-01-01
1168,164,17,2022-01-01
1170,78,5,2022-01-01
1171,176,11,2022-01-01
1172,176,2,2022-01-01
1173,78,11,2022-01-01
1174,78,2,2022-01-01
1175,207,1,2022-01-01
1176,190,3,2022-01-01
1178,190,1,2022-01-01
1179,190,8,2022-01-01
1180,81,1,2022-01-01
1181,133,8,2022-01-01
1182,70,1,2022-01-01
1183,81,2,2022-01-01
1185,75,17,2022-01-01
1186,130,10,2022-01-01
1187,132,11,2022-01-01
1188,72,12,2022-01-01
1189,81,4,2022-01-01
1190,137,8,2022-01-01
1192,130,5,2022-01-01
1193,77,1,2022-01-01
1194,81,17,2022-01-01
1195,70,5,2022-01-01
1196,69,1,2022-01-01
1197,130,2,2022-01-01
726,69,3,2021-12-01
733,140,8,2021-12-01
1056,310,44,2021-12-23
1057,310,25,2021-12-23
1058,310,8,2021-12-23
1200,69,5,2022-01-01
1201,132,4,2022-01-01
1202,77,17,2022-01-01
1203,133,2,2022-01-01
1204,94,10,2022-01-01
1205,140,2,2022-01-01
1207,87,8,2022-01-01
741,140,2,2021-12-01
1208,140,1,2022-01-01
1209,132,3,2022-01-01
1210,133,3,2022-01-01
1211,70,17,2022-01-01
1212,77,2,2022-01-01
1214,69,17,2022-01-01
1215,130,17,2022-01-01
749,77,2,2021-12-01
1216,142,17,2022-01-01
1217,87,3,2022-01-01
1218,190,10,2022-01-01
1219,75,8,2022-01-01
1221,132,17,2022-01-01
1222,70,2,2022-01-01
1223,94,4,2022-01-01
758,75,8,2021-12-01
1224,94,1,2022-01-01
1225,133,1,2022-01-01
1226,229,5,2022-01-01
1228,229,8,2022-01-01
1229,229,3,2022-01-01
1230,229,1,2022-01-01
1231,231,15,2022-01-01
765,229,5,2021-12-01
1232,231,2,2022-01-01
1233,231,31,2022-01-01
1235,233,26,2022-01-01
1236,233,15,2022-01-01
1237,233,34,2022-01-01
1238,233,27,2022-01-01
1239,233,29,2022-01-01
1240,228,26,2022-01-01
1242,228,25,2022-01-01
1243,137,17,2022-01-01
1244,137,25,2022-01-01
1245,137,2,2022-01-01
1246,239,30,2022-01-01
1247,239,17,2022-01-01
1249,239,26,2022-01-01
1250,137,42,2022-01-01
1251,242,40,2022-01-01
1252,242,20,2022-01-01
1253,242,37,2022-01-01
1254,242,12,2022-01-01
1256,235,3,2022-01-01
1257,235,44,2022-01-01
1258,244,40,2022-01-01
1259,243,4,2022-01-01
1260,244,22,2022-01-01
1261,245,10,2022-01-01
1263,245,23,2022-01-01
1264,245,15,2022-01-01
1265,245,3,2022-01-01
1266,243,22,2022-01-01
1267,243,42,2022-01-01
1268,247,14,2022-01-01
1270,247,15,2022-01-01
1271,247,21,2022-01-01
1272,247,27,2022-01-01
1273,248,15,2022-01-01
1274,248,30,2022-01-01
1275,248,38,2022-01-01
1277,248,41,2022-01-01
1278,251,8,2022-01-01
